54.8	360	353	369
55.1	373	368	381
55.2	826	661	1000
55.3	298	302	304
55.3	303	296	300
55.3	300	297	302
55.3	390	380	406
55.4	299	297	301
55.6	306	304	308
55.7	309	307	311
55.8	317	315	318
55.9	307	309	314
55.9	314	312	316
55.9	312	305	308
56.4	363	354	376
57.3	353	347	361
58.5	451	421	519
58.5	409	388	447
260	343	310	376
260	266	237	295
263	290	259	321
266	326	294	358
268	342	309	375
310	348	316	380
310	351	319	383
310	336	305	367
310	308	277	339
310	350	318	382
310	366	333	399
310	368	336	400
310	358	326	390
310	303	272	334
310	367	333	401
310	350	316	384
310	401	367	435
310	287	254	320
310	311	278	344
310	284	253	315
310	325	294	356
325	385	351	419
325	392	359	425
325	359	327	391
64	341	337	346
64.1	329	325	334
64.5	344	340	348
64.5	339	334	345
65.5	385	379	394
53.5	370	350	390
61	313	310	315
47	337	325	349
52	349	337	361
0.1	317	252	399
1	286	255	321
1.5	271	215	341
3	184	146	232
3.3	220	196	247
3.9	251	224	282
6	234	208	262
6.2	268	213	337
9	179	159	201
10.4	193	172	216
11.4	182	144	229
11.8	208	165	262
13.1	170	135	214
14.7	101	80	127
15	126	112	142
16.2	216	172	272
16.7	179	142	225
18.4	160	142	179
19.9	157	125	198
21.7	158	126	201
23	210	187	240
23.5	297	265	343
40.1	253	167	767
42.5	71	52	197
44.3	122	108	273
45.7	250	141	890
46.1	788	702	1768
47	98	74	262
50.3	189	169	425
51	130	92	367
52.2	1285	909	3629
53.2	506	319	1604
55.8	939	593	2977
57.1	703	395	2501
59.9	1189	842	3359
